time,open,high,low,close,volume,splits,earnings,dividend
2018-10-01 09:30:00,226.178,226.356,225.672,226.06900000000002,803017.0,1.0,0.0,0.0
2018-10-01 09:31:00,226.06900000000002,226.386,225.78099999999998,226.317,297273.0,1.0,0.0,0.0
2018-10-01 09:32:00,226.317,226.833,226.30700000000002,226.733,233844.0,1.0,0.0,0.0
2018-10-01 09:33:00,226.733,227.329,226.68400000000003,227.137,394153.0,1.0,0.0,0.0
2018-10-01 09:34:00,227.111,227.52700000000002,227.041,227.18400000000003,189473.0,1.0,0.0,0.0
2018-10-01 09:35:00,227.19,227.47799999999998,227.111,227.335,160292.0,1.0,0.0,0.0
2018-10-01 09:36:00,227.329,227.467,226.704,226.833,207464.0,1.0,0.0,0.0
2018-10-01 09:37:00,226.793,226.912,226.69400000000002,226.763,122943.0,1.0,0.0,0.0
2018-10-01 09:38:00,226.765,226.894,226.188,226.86700000000002,204418.0,1.0,0.0,0.0
2018-10-01 09:39:00,226.852,227.143,226.585,227.041,143440.0,1.0,0.0,0.0
2018-10-01 09:40:00,227.013,227.239,226.833,227.019,144488.0,1.0,0.0,0.0
2018-10-01 09:41:00,227.015,227.18200000000002,226.842,227.15,55093.9,1.0,0.0,0.0
2018-10-01 09:42:00,227.13,227.23,226.952,227.08700000000002,124762.0,1.0,0.0,0.0
2018-10-01 09:43:00,227.051,227.17,226.952,227.1,101549.0,1.0,0.0,0.0
2018-10-01 09:44:00,227.1,227.239,227.081,227.23,126776.0,1.0,0.0,0.0
2018-10-01 09:45:00,227.22,227.428,227.19099999999997,227.408,170070.0,1.0,0.0,0.0
2018-10-01 09:46:00,227.41,227.438,227.23,227.34799999999998,87602.3,1.0,0.0,0.0
2018-10-01 09:47:00,227.343,227.418,227.23,227.24900000000002,114122.0,1.0,0.0,0.0
2018-10-01 09:48:00,227.25900000000001,227.378,227.239,227.359,105545.0,1.0,0.0,0.0
2018-10-01 09:49:00,227.33900000000003,227.468,227.269,227.28900000000002,145774.0,1.0,0.0,0.0
2018-10-01 09:50:00,227.28099999999998,227.52700000000002,227.269,227.398,121677.0,1.0,0.0,0.0
2018-10-01 09:51:00,227.398,227.567,227.327,227.385,113292.0,1.0,0.0,0.0
2018-10-01 09:52:00,227.398,227.47799999999998,227.23,227.257,92531.4,1.0,0.0,0.0
2018-10-01 09:53:00,227.24900000000002,227.343,227.1,227.143,100965.0,1.0,0.0,0.0
2018-10-01 09:54:00,227.09400000000002,227.18,226.99099999999999,227.1,110453.0,1.0,0.0,0.0
2018-10-01 09:55:00,227.097,227.305,227.011,227.13,46522.7,1.0,0.0,0.0
2018-10-01 09:56:00,227.12,227.21,227.021,227.1,63022.2,1.0,0.0,0.0
2018-10-01 09:57:00,227.1,227.18200000000002,227.011,227.028,46690.0,1.0,0.0,0.0
2018-10-01 09:58:00,227.021,227.12,227.00099999999998,227.02,53842.3,1.0,0.0,0.0
2018-10-01 09:59:00,227.011,227.021,226.862,227.021,106214.0,1.0,0.0,0.0
2018-10-01 10:00:00,227.00099999999998,227.09099999999998,226.892,227.051,66483.0,1.0,0.0,0.0
2018-10-01 10:01:00,227.041,227.17,226.93200000000002,227.14,58552.7,1.0,0.0,0.0
2018-10-01 10:02:00,227.17,227.31900000000002,227.14,227.19,101866.0,1.0,0.0,0.0
2018-10-01 10:03:00,227.19,227.359,227.132,227.34900000000002,55771.2,1.0,0.0,0.0
2018-10-01 10:04:00,227.34900000000002,227.378,227.12400000000002,227.17,70917.3,1.0,0.0,0.0
2018-10-01 10:05:00,227.18,227.497,227.18,227.428,122715.0,1.0,0.0,0.0
2018-10-01 10:06:00,227.42,227.646,227.378,227.567,149584.0,1.0,0.0,0.0
2018-10-01 10:07:00,227.56400000000002,227.636,227.28900000000002,227.368,126387.0,1.0,0.0,0.0
