time,signal,trade_dir,trade_end,hp,trade_pnl
2018-12-17 10:52:00,-1.0,1.0,1.0,1.0,-0.06370858614036479
2018-12-17 10:54:00,1.0,-1.0,1.0,2.0,0.11805378722419846
2018-12-17 10:59:00,-1.0,1.0,1.0,5.0,2.932145596877035
2018-12-17 11:02:00,1.0,-1.0,1.0,3.0,-0.28333142820315516
2018-12-17 11:05:00,-1.0,1.0,1.0,3.0,1.3641377981739424
2018-12-17 11:06:00,1.0,-1.0,1.0,1.0,-1.0859203249619895
2018-12-17 11:07:00,-1.0,1.0,1.0,1.0,-0.1726077200578402
2018-12-17 11:11:00,1.0,-1.0,1.0,4.0,-0.5457795299455483
2018-12-17 11:12:00,-1.0,1.0,1.0,1.0,-0.5317238565976368
2018-12-17 11:17:00,1.0,-1.0,1.0,5.0,1.3367057911032134
2018-12-17 11:20:00,-1.0,1.0,1.0,3.0,0.7524052744738583
2018-12-17 11:21:00,1.0,-1.0,1.0,1.0,-0.6860838828001761
2018-12-17 11:22:00,-1.0,1.0,1.0,1.0,-0.23573870690938747
2018-12-17 11:25:00,1.0,-1.0,1.0,3.0,-0.40352982845593033
2018-12-17 11:26:00,-1.0,1.0,1.0,1.0,-0.7972652932305664
2018-12-17 11:28:00,1.0,-1.0,1.0,2.0,-0.4776425932411712
2018-12-17 11:29:00,-1.0,1.0,1.0,1.0,-1.1517972466340325
2018-12-17 11:32:00,1.0,-1.0,1.0,3.0,0.7962246076094743
2018-12-17 11:35:00,-1.0,1.0,1.0,3.0,0.32526976141889463
2018-12-17 11:37:00,1.0,-1.0,1.0,2.0,-0.3453271333708017
2018-12-17 11:38:00,-1.0,1.0,1.0,1.0,-0.9281086258949927
2018-12-17 11:42:00,1.0,-1.0,1.0,4.0,1.8260742362560904
2018-12-17 11:43:00,-1.0,1.0,1.0,1.0,-0.6018744446437267
2018-12-17 11:47:00,1.0,-1.0,1.0,4.0,-0.4942707151974446
2018-12-17 11:48:00,-1.0,1.0,1.0,1.0,-0.33963218020471686
2018-12-17 11:49:00,1.0,-1.0,1.0,1.0,-1.4401661682287568
2018-12-17 11:51:00,-1.0,1.0,1.0,2.0,0.3019632115448303
2018-12-17 11:53:00,1.0,-1.0,1.0,2.0,-0.6084210391619536
2018-12-17 11:56:00,-1.0,1.0,1.0,3.0,0.6663278135248447
2018-12-17 11:57:00,1.0,-1.0,1.0,1.0,-0.38154624574622176
2018-12-17 12:01:00,-1.0,1.0,1.0,4.0,1.0479870243113965
2018-12-17 12:03:00,1.0,-1.0,1.0,2.0,-0.38827782412795386
2018-12-17 12:04:00,-1.0,1.0,1.0,1.0,-0.5165017001577326
2018-12-17 12:05:00,1.0,-1.0,1.0,1.0,-0.8219811098904302
2018-12-17 12:06:00,-1.0,1.0,1.0,1.0,-0.595253983108023
2018-12-17 12:14:00,1.0,-1.0,1.0,8.0,2.972774567402439
2018-12-17 12:15:00,-1.0,1.0,1.0,1.0,-0.9082698813592742
2018-12-17 12:16:00,1.0,-1.0,1.0,1.0,-0.4486080050835426
2018-12-17 12:18:00,-1.0,1.0,1.0,2.0,-0.1709485571756204
2018-12-17 12:20:00,1.0,-1.0,1.0,2.0,0.1846897903108129
2018-12-17 12:22:00,-1.0,1.0,1.0,2.0,-0.22899720453051486
2018-12-17 12:27:00,1.0,-1.0,1.0,5.0,1.2938811688578653
2018-12-17 12:28:00,-1.0,1.0,1.0,1.0,-0.5409545463373888
2018-12-17 12:29:00,1.0,-1.0,1.0,1.0,-1.0190854984730322
2018-12-17 12:31:00,-1.0,1.0,1.0,2.0,-1.3330108696663956
2018-12-17 12:38:00,1.0,-1.0,1.0,7.0,3.031004094965283
2018-12-17 12:39:00,-1.0,1.0,1.0,1.0,-0.7601636985891673
2018-12-17 12:40:00,1.0,-1.0,1.0,1.0,-0.3982179713930236
2018-12-17 12:42:00,-1.0,1.0,1.0,2.0,-0.643634021806406
2018-12-17 12:44:00,1.0,-1.0,1.0,2.0,0.5078041907567012
2018-12-17 12:46:00,-1.0,1.0,1.0,2.0,-0.428809422916288
2018-12-17 12:49:00,1.0,-1.0,1.0,3.0,0.11491753207292277
2018-12-17 12:51:00,-1.0,1.0,1.0,2.0,-0.7717130031072656
2018-12-17 12:53:00,1.0,-1.0,1.0,2.0,-0.06962145137140396
2018-12-17 12:58:00,-1.0,1.0,1.0,5.0,-0.193318715542091
2018-12-17 12:59:00,1.0,-1.0,1.0,1.0,0.0653106685477951
2018-12-17 13:00:00,-1.0,1.0,1.0,1.0,-0.7864229901815634
2018-12-17 13:02:00,1.0,-1.0,1.0,2.0,0.10222829054623617
2018-12-17 13:03:00,-1.0,1.0,1.0,1.0,-0.2526874594996116
2018-12-17 13:05:00,1.0,-1.0,1.0,2.0,-0.5836660016307178
2018-12-17 13:07:00,-1.0,1.0,1.0,2.0,-0.2202791058513185
2018-12-17 13:08:00,1.0,-1.0,1.0,1.0,-0.661747943449086
2018-12-17 13:09:00,-1.0,1.0,1.0,1.0,-0.4036812883296079
2018-12-17 13:10:00,1.0,-1.0,1.0,1.0,-0.13079876391145717
2018-12-17 13:11:00,-1.0,1.0,1.0,1.0,-0.590039133741243
2018-12-17 13:14:00,1.0,-1.0,1.0,3.0,1.176932339312657
2018-12-17 13:15:00,-1.0,1.0,1.0,1.0,-1.2591778080146696
2018-12-17 13:16:00,1.0,-1.0,1.0,1.0,0.04575260196929776
2018-12-17 13:19:00,-1.0,1.0,1.0,3.0,0.3769280403363382
2018-12-17 13:22:00,1.0,-1.0,1.0,3.0,0.5803750104950041
2018-12-17 13:24:00,-1.0,1.0,1.0,2.0,1.284185130429023
2018-12-17 13:25:00,1.0,-1.0,1.0,1.0,-0.3962294349860258
2018-12-17 13:26:00,-1.0,1.0,1.0,1.0,-0.37270092783887776
2018-12-17 13:30:00,1.0,-1.0,1.0,4.0,0.8321790316484794
2018-12-17 13:31:00,-1.0,1.0,1.0,1.0,-0.3926392574721831
2018-12-17 13:35:00,1.0,-1.0,1.0,4.0,2.9557702941325488
2018-12-17 13:36:00,-1.0,1.0,1.0,1.0,-0.8540578164183898
2018-12-17 13:37:00,1.0,-1.0,1.0,1.0,0.4843206114385339
2018-12-17 13:38:00,-1.0,1.0,1.0,1.0,-0.3865060528604545
2018-12-17 13:39:00,1.0,-1.0,1.0,1.0,-0.8209466646912915
2018-12-17 13:40:00,-1.0,1.0,1.0,1.0,-0.18185479992757791
2018-12-17 13:41:00,1.0,-1.0,1.0,1.0,-1.0128362361411973
