time,open,high,low,close,volume,splits,earnings,dividend,average_price,return,direction,signal_logistic_full,logistic_prob_full,signal_logistic,logistic_prob,signal,wealth
2018-12-17 09:30:00,164.74400000000003,165.71,164.604,165.675,1045370.0,1.0,0.0,0.0,165.18325000000004,0.0019962677813882834,1.0,1.0,0.8736032535038116,1.0,0.8742951767488653,1.0,1000.0
2018-12-17 09:31:00,165.68,165.759,165.18200000000004,165.43099999999995,206706.0,1.0,0.0,0.0,165.513,0.0012869079770168046,1.0,-1.0,0.6457800357392061,-1.0,0.6525366249018163,-1.0,1001.3964477274043
2018-12-17 09:32:00,165.46099999999996,166.128,165.27700000000004,166.03799999999995,290208.0,1.0,0.0,0.0,165.726,0.0034469546118292005,1.0,1.0,0.8496521334887809,1.0,0.8458346807342085,1.0,999.5096539922647
2018-12-17 09:33:00,166.09799999999996,166.745,165.949,166.39700000000005,302948.0,1.0,0.0,0.0,166.29725000000005,-7.516660678386078e-05,-1.0,1.0,0.6734419381565367,1.0,0.6654099699744339,1.0,1002.9593516562979
2018-12-17 09:34:00,166.36700000000005,166.417,165.958,166.39700000000005,217036.0,1.0,0.0,0.0,166.28475000000003,-0.0007577363528528114,-1.0,1.0,0.7881794985750946,1.0,0.7750315642345812,1.0,1002.8841252326757
2018-12-17 09:35:00,166.392,166.53599999999997,165.739,165.968,241164.0,1.0,0.0,0.0,166.15875,-0.0012819066103955112,-1.0,-1.0,0.7561328156606997,-1.0,0.7698031944352229,-1.0,1001.5242358706319
2018-12-17 09:36:00,165.97799999999995,166.03799999999995,165.759,166.00799999999995,128378.0,1.0,0.0,0.0,165.94574999999998,0.001238356511089167,1.0,1.0,0.7483332909207226,1.0,0.7333996468801779,1.0,1002.2083342080676
2018-12-17 09:37:00,165.993,166.39700000000005,165.958,166.257,203341.0,1.0,0.0,0.0,166.15125,-7.82419632714415e-05,-1.0,1.0,0.7418630917923561,1.0,0.73367352690145,1.0,1003.4478343433133
2018-12-17 09:38:00,166.227,166.516,165.84900000000005,165.96099999999996,241707.0,1.0,0.0,0.0,166.13825,-0.0009465008810434217,-1.0,-1.0,0.7824445253513057,-1.0,0.7850566085831928,-1.0,1002.7676319893018
2018-12-17 09:39:00,165.949,166.128,165.829,166.018,170943.0,1.0,0.0,0.0,165.981,-0.00024099143877909238,-1.0,1.0,0.5665624496941791,1.0,0.5648891500779588,1.0,1003.1153464257865
2018-12-17 09:40:00,166.00799999999995,166.078,165.759,165.919,170230.0,1.0,0.0,0.0,165.94099999999997,-0.0014282184631888573,-1.0,-1.0,0.6078294445862272,-1.0,0.5875919410893353,-1.0,1002.2721442617103
2018-12-17 09:41:00,165.949,165.968,165.40099999999995,165.498,228817.0,1.0,0.0,0.0,165.70399999999995,-0.0023837686477088393,-1.0,-1.0,0.8217990104474414,-1.0,0.8366478308467629,-1.0,1003.7039527772715
2018-12-17 09:42:00,165.52,165.52,165.072,165.12400000000005,202974.0,1.0,0.0,0.0,165.30900000000003,-0.0015531519759964807,-1.0,-1.0,0.8479995765117758,-1.0,0.850676730102477,-1.0,1006.0937134034551
2018-12-17 09:43:00,165.122,165.261,164.71400000000003,165.112,229687.0,1.0,0.0,0.0,165.05225000000004,0.001345028619724742,1.0,1.0,0.6496774495450137,1.0,0.6317864095477201,1.0,1007.047294286427
2018-12-17 09:44:00,165.113,165.5,165.113,165.37099999999995,158399.0,1.0,0.0,0.0,165.27425,0.000388747793440114,1.0,1.0,0.7352074820031966,1.0,0.7348018306092746,1.0,1008.399707433684
2018-12-17 09:45:00,165.361,165.51,165.082,165.40099999999995,158023.0,1.0,0.0,0.0,165.33849999999995,0.0010992600029640087,1.0,1.0,0.66962848038343,1.0,0.6762421523215266,1.0,1008.7905895451166
2018-12-17 09:46:00,165.41099999999997,165.74900000000005,165.172,165.74900000000005,157339.0,1.0,0.0,0.0,165.52025000000003,0.0007204556542175222,1.0,1.0,0.8644168841405686,1.0,0.8646671644099599,1.0,1009.8958847473605
